fid,station_id,station_x,station_y,gauge_id,gauge_name,n,distance,gauge_x,gauge_y
88,il_60170,186298,392663,64,ELAT,1,11700,195184,385052
89,il_60190,189649,385338,64,ELAT,1,5543,195184,385052
90,il_7105,227639,755353,205,ESHHAR,1,1294,228304,754243
90,il_7105,227639,755353,269,HARASHIM,2,7759,231009,762342
90,il_7105,227639,755353,78,AFEQ,3,17561,210802,750361
90,il_7105,227639,755353,73,ELON,4,20423,220629,774535
90,il_7105,227639,755353,343,SHAVE ZIYYON,5,21204,208758,765003
91,il_8130,209280,725793,67,EN HASHOFET,1,779,209561,726519
91,il_8130,209280,725793,186,NEWE YAAR,2,12017,217070,734942
91,il_8130,209280,725793,44,EN KARMEL,3,14169,196530,731974
91,il_8130,209280,725793,45,ZIKHRON YAAQOV,4,15259,195561,719112
91,il_8130,209280,725793,42,HAIFA UNIVERSITY,5,16597,202267,740835
92,il_8140,215116,735685,186,NEWE YAAR,1,2090,217070,734942
92,il_8140,215116,735685,67,EN HASHOFET,2,10718,209561,726519
92,il_8140,215116,735685,42,HAIFA UNIVERSITY,3,13843,202267,740835
92,il_8140,215116,735685,43,HAIFA TECHNION,4,14445,201799,741279
92,il_8140,215116,735685,78,AFEQ,5,15297,210802,750361
93,il_8146,222426,720973,67,EN HASHOFET,1,14009,209561,726519
93,il_8146,222426,720973,186,NEWE YAAR,2,14961,217070,734942
93,il_8146,222426,720973,13,TAVOR KADOORIE,3,20121,237793,733961
93,il_8146,222426,720973,224,MAALE GILBOA,4,20263,239248,709677
93,il_8146,222426,720973,206,EDEN FARM,5,26866,246207,708473
94,il_8155,228993,742291,205,ESHHAR,1,11971,228304,754243
94,il_8155,228993,742291,13,TAVOR KADOORIE,2,12118,237793,733961
94,il_8155,228993,742291,186,NEWE YAAR,3,14006,217070,734942
94,il_8155,228993,742291,78,AFEQ,4,19900,210802,750361
94,il_8155,228993,742291,269,HARASHIM,5,20152,231009,762342
95,il_48188,229317,567473,29,ARAD,1,12983,217699,573268
95,il_48188,229317,567473,65,SEDOM,2,20110,237267,549001
95,il_48188,229317,567473,211,EN GEDI,3,25532,236719,591909
95,il_48188,229317,567473,28,SHANI,4,29822,204665,584255
