run_title,basin,learning_rate,seq_length,hidden_size,batch_size,epoch,autoregressive_inputs,dynamic_inputs,RMSE,NSE,Peak-Timing,normalization,comments,folder_path,basin_name
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_2105,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",0.319,0.666,0,minmax,"minmax normalization, single run",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_30170,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",0.12,0.532,14,minmax,"minmax normalization, single run",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_4110,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",0.0891,0.677,20.4,minmax,"minmax normalization, single run",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_8146,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",0.776,0.914,23.7,minmax,"minmax normalization, single run",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_8155,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",0.209,0.907,21.4,minmax,"minmax normalization, single run",,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_14120,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",3.88,0.835,6.57,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_15120,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",1.75,0.9,25.4,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_19160,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",0.0887,-48.3,26.5,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_2105,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",0.379,0.527,40,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_30170,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",0.25,-1.03,15.6,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_4110,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",0.156,0.0169,21.3,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_8146,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",0.643,0.941,18.3,no normalization,model trained without any normalization,,
Try_hidden_size64_seq_length36_learning_rate0001_1712_023205,il_8155,{0: 0.001},36,64,2048,15,['Flow_m3_sec_shift18'],"['Rain_gauge_1', 'Rain_gauge_2', 'Rain_gauge_3']",0.172,0.937,12.2,no normalization,model trained without any normalization,,
