hidden_size,batch_size,learning_rate,step,train_loss,valid_loss,valid_nse,file_name,normalization,seq_length
64,512,0.001,7,0.075091258,0.01434187,-0.749275148,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,8,0.070134431,0.014846963,-0.746769965,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,9,0.065999545,0.015635421,-0.752610743,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,10,0.062200494,0.014417616,-0.734422922,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,11,0.057547908,0.015507516,-0.736558557,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,12,0.053129189,0.014655218,-0.722974062,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,13,0.05023779,0.015166413,-0.75115788,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,14,0.049086027,0.014143907,-0.721699834,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,15,0.047332145,0.013813474,-0.729186833,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.01,1,0.148509413,0.021620315,-0.877517104,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,2,0.134127945,0.016941844,-0.756296873,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,3,0.130210996,0.015128748,-0.713511407,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,4,0.122408777,0.019376447,-0.7399019,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,5,0.12175028,0.017855791,-0.782425106,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,6,0.126037866,0.017144695,-0.745892763,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,7,0.127695978,0.017911505,-0.74380827,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,8,0.121166334,0.019295258,-0.770925343,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,9,0.119391501,0.01861215,-0.780450463,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,10,0.120055124,0.01768887,-0.727262437,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,11,0.116506204,0.017865369,-0.78374511,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
64,512,0.01,12,0.116836913,0.018711282,-0.735238433,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate001_2712_154705,training_zscore,36
